Date,Close,High,Low,Open,Volume
,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
2022-10-17,3808.927490234375,3819.0040179863176,3748.468323722718,3808.9274902343745,60905200
2022-10-18,3829.0810546875,3859.3106419613487,3808.927996504934,3829.0810546875,67904400
2022-10-19,3819.00439453125,3859.31050951311,3758.54522205846,3778.69827954939,71544800
2022-10-20,3990.305908203125,4000.3824382743446,3768.6222466362847,3768.6222466362847,102422400
2022-10-21,4171.6826171875,4211.988729430857,4000.381640153231,4030.611224335749,183987800
2022-10-24,4131.37646484375,4232.1417444740855,4131.37646484375,4161.6060487328505,102168000
2022-10-25,4121.2998046875,4211.9885534459045,4121.2998046875,4141.452859967146,83305200
2022-10-26,4111.22314453125,4131.3761991613055,4030.6109260110297,4121.299671846277,80531400
2022-10-27,4111.22314453125,4161.605781106388,4050.763980641085,4111.22314453125,84531200
2022-10-28,4111.22314453125,4121.299671846277,4070.91703527114,4080.9935625861676,102437400
2022-10-31,4252.29541015625,4252.29541015625,4121.300527852859,4151.5301160767185,173874600
2022-11-01,4191.8359375,4272.448167067308,4121.3002366286055,4272.448167067308,111898000
2022-11-02,4060.8408203125,4191.835685483871,4020.534707952078,4181.759157393765,127515400
2022-11-03,4101.14697265625,4111.223500844594,4010.4582189611483,4010.4582189611483,119598600
2022-11-04,4091.07080078125,4091.07080078125,4030.611626385468,4040.6881554514316,70781200
2022-11-07,4131.37646484375,4131.37646484375,4030.6111852134145,4101.1468809546495,98034400
2022-11-08,4091.07080078125,4141.453446111068,4060.841213583359,4141.453446111068,39585800
2022-11-09,4091.07080078125,4091.07080078125,4050.7646845173954,4050.7646845173954,68010400
2022-11-10,4070.917724609375,4091.070782651996,4030.6116085241338,4050.7646665667544,61964000
2022-11-11,4201.912109375,4211.988637215228,4121.299886653178,4151.529470173861,102008200
2022-11-14,4131.37646484375,4252.294800400153,4091.070352991616,4252.294800400153,61055200
2022-11-15,4131.37646484375,4151.529520769817,4070.9172970655486,4151.529520769817,83000800
2022-11-16,4030.611328125,4101.147026367187,3990.30521484375,4070.91744140625,128257800
2022-11-17,3990.305908203125,4040.688558559225,3970.152848060685,3970.152848060685,167562600
2022-11-18,4101.14697265625,4121.300029032939,4000.3816907728037,4010.4582189611483,111646200
2022-11-21,4070.917724609375,4111.223840694616,4040.688137545444,4101.147311673306,52311600
2022-11-22,4080.994384765625,4131.377031491126,4050.764796730324,4050.764796730324,79850600
2022-11-23,4111.22314453125,4151.52925379136,4080.9935625861676,4080.9935625861676,78250600
2022-11-24,4121.2998046875,4151.529387606968,4111.223277047678,4121.2998046875,59701400
2022-11-25,4101.14697265625,4121.300029032939,4070.917388091216,4121.300029032939,77984800
2022-11-28,4080.994384765625,4141.453560836227,4080.994384765625,4101.147443455826,64779000
2022-11-29,4161.60693359375,4211.989584121519,4111.224283065981,4131.377343277089,72261000
2022-11-30,4242.21875,4353.0605700712595,4161.606517220903,4161.606517220903,347136800
2022-12-01,4191.8359375,4292.601224459135,4191.8359375,4242.218580979567,141493000
2022-12-02,4242.21875,4242.21875,4161.606517220903,4191.836104513064,70811400
2022-12-05,4383.28955078125,4433.672189295977,4262.371218345906,4292.6008014547415,146472800
2022-12-06,4393.36669921875,4433.672815725344,4322.8309953322105,4383.290170092101,139360200
2022-12-07,4181.75927734375,4312.75414627259,4181.75927734375,4282.524561135166,200886200
2022-12-08,4050.764404296875,4121.300102879159,4020.5348191901817,4060.8409326657725,279908400
2022-12-09,4000.38232421875,4050.7649731383813,3960.0762050830444,4010.458854002676,241338200
2022-12-12,4010.458740234375,4030.6117992305276,3939.9230337478407,3960.0760927439933,183717600
2022-12-13,3990.305908203125,4030.612028488005,3939.9232578470246,3939.9232578470246,224176000
2022-12-14,4010.458740234375,4070.917917222833,4010.4587402343745,4060.8413877247563,162689200
2022-12-15,3990.305908203125,4040.688558559225,3990.3059082031245,3990.3059082031245,82673400
2022-12-16,4070.917724609375,4070.9177246093755,3960.0759053749616,3960.0759053749616,770252400
2022-12-19,4030.611328125,4060.8409130859377,3990.30521484375,4030.611328125,100871400
2022-12-20,4050.764404296875,4050.7644042968745,4010.4582908212838,4030.611347559079,56633800
2022-12-21,4030.611328125,4080.9939697265627,4030.611328125,4080.9939697265627,37945200
2022-12-22,4010.458740234375,4070.917917222833,4010.4587402343745,4070.917917222833,78836200
2022-12-23,4000.38232421875,4030.611913570529,3990.3057944348234,3990.3057944348234,38571200
2022-12-26,4050.764404296875,4050.7644042968745,4010.4582908212838,4020.5348191901817,19578800
2022-12-27,4010.458740234375,4050.76485822668,3980.229151740146,4050.76485822668,43282000
2022-12-28,4020.534912109375,4030.6114407111527,3970.1522691004852,4030.6114407111527,30258400
2022-12-29,4020.534912109375,4020.5349121093745,3980.2287977022634,3990.305326304041,56981400
2022-12-30,4000.38232421875,4050.7649731383813,4000.3823242187495,4030.611913570529,40655800
2023-01-02,3980.22900390625,4020.5351204015033,3980.22900390625,4000.3820621538766,5985400
2023-01-03,4010.458740234375,4020.535269732451,3970.1526222420694,3970.1526222420694,13815200
2023-01-04,4040.68798828125,4060.841045579411,4020.534930983089,4040.68798828125,38575800
2023-01-05,3960.075439453125,4050.7641899749524,3919.7693281100906,4050.7641899749524,84945800
2023-01-06,3949.9990234375,3949.9990234375,3869.386798469388,3919.7694390744578,44097000
2023-01-09,3919.77001953125,3970.152667597204,3869.3873714652955,3929.846549144441,67250600
2023-01-10,3738.392578125,3849.2344065869274,3698.0864586842995,3829.081346866577,214538800
2023-01-11,3607.397216796875,3698.0859736437237,3587.244159719797,3657.7798594895685,193915000
2023-01-12,3708.162841796875,3808.9281364109206,3627.5506061056385,3627.5506061056385,219659400
2023-01-13,3698.085693359375,3718.2387489090174,3647.703054485269,3677.9326378097326,107483800
2023-01-16,3748.468994140625,3768.622053248908,3667.856757707493,3667.856757707493,145710000
2023-01-17,3929.846435546875,3960.0760235126204,3778.6984957181494,3788.7750250400645,146238000
2023-01-18,3849.234130859375,3939.922893104753,3829.0810725826245,3889.5402474128764,95360600
2023-01-19,3929.846435546875,3960.0760235126204,3839.1576716496397,3869.3872596153847,81704200
2023-01-20,4020.534912109375,4030.6114407111527,3949.9992118969294,3970.1522691004852,93227400
2023-01-24,3990.305908203125,4020.535498416785,3949.9997879182447,3970.152848060685,35028000
2023-01-25,3909.693359375,3970.152535035438,3909.693359375,3949.9994764819585,72767800
2023-01-26,3960.075439453125,3980.228495124642,3929.845855945849,3939.922383781608,70558600
2023-01-27,4040.68798828125,4091.070631526652,3990.305345035848,3990.305345035848,216788400
2023-01-30,4010.458740234375,4080.994446720909,3980.229151740146,4040.6883287286037,82589400
2023-01-31,4010.458740234375,4070.917917222833,3980.229151740146,4040.6883287286037,167297000
2023-02-01,3909.693359375,4050.7647692493556,3899.61683009826,4010.4586521423967,165628800
2023-02-02,3919.77001953125,3929.846549144441,3859.3108418521047,3919.77001953125,99351800
2023-02-03,4000.38232421875,4010.458854002676,3929.8466157312655,3929.8466157312655,108125400
2023-02-06,3980.22900390625,4050.764707772943,3929.8463582871836,4000.3820621538766,109098400
2023-02-07,4101.14697265625,4121.300029032939,3990.305162584459,4010.4582189611483,118132000
2023-02-08,4111.22314453125,4121.299671846277,4070.91703527114,4080.9935625861676,75656000
2023-02-09,4131.37646484375,4191.835632621951,4131.37646484375,4151.529520769817,121757400
2023-02-10,4151.5302734375,4211.989452176881,4091.071094698119,4211.989452176881,81114600
2023-02-13,4171.6826171875,4252.294841674215,4131.376504944143,4252.294841674215,56771800
2023-02-14,4181.75927734375,4211.988862481175,4141.453163827184,4211.988862481175,39570600
2023-02-15,4121.2998046875,4171.682442886614,4070.917166488386,4151.529387606968,75595200
2023-02-16,4101.14697265625,4141.453085409628,4080.9939162795604,4121.300029032939,49569000
2023-02-17,4151.5302734375,4151.5302734375,4070.9180351183254,4101.147624488016,58521000
2023-02-20,4141.453125,4151.529653284671,4111.223540145986,4151.529653284671,40696400
2023-02-21,4111.22314453125,4151.52925379136,4101.146617216223,4151.52925379136,52604400
2023-02-22,4030.611328125,4101.147026367187,4010.458271484375,4080.9939697265627,75513400
2023-02-23,4060.8408203125,4070.9173484026055,4000.3816517718674,4020.534707952078,177505200
2023-02-24,4080.994384765625,4121.300502146027,4060.8413260754246,4080.994384765625,54138200
2023-02-27,4091.07080078125,4091.07080078125,4050.7646845173954,4060.841213583359,47901800
2023-02-28,4030.611328125,4091.070498046875,4030.611328125,4060.8409130859377,146440400
2023-03-01,4070.917724609375,4111.223840694616,4050.7646665667544,4091.070782651996,89565600
2023-03-02,4121.2998046875,4151.529387606968,4091.070221768032,4091.070221768032,72991800
2023-03-03,4050.764404296875,4131.376631248057,4040.687875927977,4111.223574510261,88630600
2023-03-06,4080.994384765625,4121.300502146027,4060.8413260754246,4101.147443455826,53728800
2023-03-07,4101.14697265625,4141.453085409628,4080.9939162795604,4091.070444467905,80065800
2023-03-08,4141.453125,4141.453125,4101.147011861314,4131.376596715329,104838200
2023-03-09,4211.98876953125,4232.141825844797,4171.682656904157,4191.835713217703,83286000
2023-03-10,4181.75927734375,4201.912334102033,4141.453163827184,4201.912334102033,107531000
2023-03-13,4171.6826171875,4181.759145248339,4121.299976883303,4141.453033004982,92827600
2023-03-14,4000.38232421875,4141.453741193718,3970.1527348669706,4111.22415184194,191898400
2023-03-15,4050.764404296875,4101.147046141363,3970.152177345693,4050.7644042968745,262828600
2023-03-16,3970.15185546875,4060.84060343631,3960.075327916799,4060.84060343631,135467400
2023-03-17,4070.917724609375,4080.9942536306858,4000.382021460203,4010.458550481513,224171600
2023-03-20,4030.611328125,4070.91744140625,4030.611328125,4050.764384765625,46333000
2023-03-21,4232.14208984375,4232.14208984375,4060.8411004929317,4070.917629278274,131331000
2023-03-24,4393.36669921875,4413.519757472047,4262.371820572319,4282.524878825617,222156200
2023-03-27,4321.0673828125,4416.385045668658,4321.0673828125,4405.794194240196,151825600
2023-03-28,4289.29541015625,4352.84052734375,4278.704557291667,4321.06796875,103951000
2023-03-29,4384.61279296875,4395.203645125679,4321.067680027174,4342.249384341033,107454600
2023-03-30,4331.658203125,4405.794162591687,4331.658203125,4384.612459886919,97186200
2023-03-31,4374.0224609375,4374.0224609375,4321.068193855932,4352.840754104873,92013200
2023-04-03,4458.7490234375,4458.7490234375,4405.794759501187,4405.794759501187,101724400
2023-04-04,4405.79443359375,4490.521249624399,4321.0676175631015,4448.157841609075,94482600
2023-04-05,4426.97607421875,4448.157777923146,4363.430963105562,4363.430963105562,42655500
2023-04-06,4384.61279296875,4426.976201596467,4363.431088654891,4426.976201596467,47999400
2023-04-10,4321.0673828125,4384.612491383272,4278.703977098652,4363.430788526348,74787800
2023-04-11,4321.0673828125,4321.0673828125,4278.703977098652,4321.0673828125,37744800
2023-04-12,4363.431640625,4426.976761604976,4321.068226638349,4321.068226638349,111901500
2023-04-13,4342.2490234375,4405.794131097561,4342.2490234375,4384.612428544207,67928500
2023-04-14,4426.97607421875,4448.157777923146,4363.430963105562,4363.430963105562,142479800
2023-04-17,4342.2490234375,4448.157536204269,4342.2490234375,4426.975833650915,95789900
2023-04-18,4384.61279296875,4448.157905910326,4342.249384341033,4363.431088654891,106962300
2023-04-26,4405.79443359375,4596.429769662711,4384.612729586088,4575.248065655049,207338000
2023-04-27,4405.79443359375,4426.976137601412,4384.612729586088,4384.612729586088,51076300
2023-04-28,4384.61279296875,4426.976201596467,4363.431088654891,4426.976201596467,116957800
2023-05-02,4448.158203125,4448.158203125,4384.6130859375,4448.158203125,98024100
2023-05-03,4426.97607421875,4448.157777923146,4363.430963105562,4448.157777923146,110683000
2023-05-04,4384.61279296875,4426.976201596467,4342.249384341033,4384.61279296875,100945900
2023-05-05,4384.61279296875,4405.794497282609,4342.249384341033,4384.61279296875,64499500
2023-05-08,4342.2490234375,4405.794131097561,4342.2490234375,4384.612428544207,64678000
2023-05-09,4278.70458984375,4342.249707514697,4278.70458984375,4321.068001624381,93531000
2023-05-10,4299.88623046875,4342.249641606373,4278.704524899938,4278.704524899938,58148200
2023-05-11,4321.0673828125,4321.0673828125,4257.522274241728,4299.885679955576,63262300
2023-05-12,4236.3408203125,4299.885932617188,4236.3408203125,4299.885932617188,105407300
2023-05-15,4278.70458984375,4278.70458984375,4236.341178063119,4278.70458984375,76451700
2023-05-16,4227.8681640625,4299.885958440318,4219.395482370992,4299.885958440318,42752200
2023-05-17,4236.3408203125,4299.885932617188,4219.39545703125,4227.868138671875,63396700
2023-05-19,4299.88623046875,4321.067936037562,4257.522819331127,4299.88623046875,78499800
2023-05-22,4426.97607421875,4448.157777923146,4299.885851992374,4321.06755569677,120027200
2023-05-23,4342.2490234375,4448.157536204269,4321.067320884146,4405.794131097561,165534100
2023-05-24,4299.88623046875,4363.431347175185,4278.704524899938,4342.249641606373,125575300
