Date,Close,High,Low,Open,Volume
,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
2023-03-02,3726.2333984375,3757.722694762324,3726.2333984375,3757.722694762324,49577200
2023-03-03,3673.7509765625,3736.729564732143,3673.7509765625,3726.233133370536,54989400
2023-03-06,3694.743896484375,3726.233191056685,3673.751033436168,3694.743896484375,42464200
2023-03-07,3736.7294921875,3747.22592334533,3694.74376755618,3694.74376755618,45285800
2023-03-08,3726.2333984375,3726.2333984375,3694.744102112676,3715.736966329225,33221200
2023-03-09,3841.69384765625,3873.183141489498,3778.715259989754,3778.715259989754,112172600
2023-03-10,3789.211669921875,3831.1973947963556,3778.715238703255,3820.700963577736,72647400
2023-03-13,3778.71533203125,3799.708194986979,3726.2331746419272,3789.2117635091145,87385200
2023-03-14,3684.24755859375,3736.729717548077,3673.7511268028848,3736.729717548077,124869200
2023-03-15,3694.743896484375,3747.2260541048913,3684.2474649602714,3736.729622580788,97799600
2023-03-16,3757.72265625,3820.70124825419,3705.2404962465084,3726.2333602479052,109964600
2023-03-17,3789.211669921875,3841.693826014976,3768.218807484635,3778.715238703255,151227200
2023-03-20,3778.71533203125,3831.1974894205728,3768.2189005533855,3789.2117635091145,32195200
2023-03-21,3873.18310546875,3883.6795366488823,3768.218793667429,3799.7080872078254,49801400
2023-03-24,4041.126220703125,4083.1119476714694,3883.6797445718344,3894.1761763139207,161637200
2023-03-27,3988.64404296875,4093.6083598889804,3988.64404296875,4062.1190648129113,99699200
2023-03-28,3952.634765625,4029.278653047091,3941.6856388504157,4029.278653047091,77714200
2023-03-29,4029.278564453125,4051.176817520805,3952.6346787162447,3963.583805250085,67383200
2023-03-30,4094.97314453125,4116.871396641043,4051.1766403116644,4073.074892421457,67522400
2023-03-31,4094.97314453125,4105.922270586147,4040.2275142567682,4094.97314453125,54065000
2023-04-03,4094.97314453125,4116.871396641043,4062.125766366561,4094.97314453125,29520600
2023-04-04,4094.97314453125,4105.922270586147,4029.278388201872,4094.97314453125,46922000
2023-04-05,4084.024169921875,4138.769802226458,4062.125917000042,4094.973296382792,50698800
2023-04-06,4105.92236328125,4105.92236328125,4084.024110677083,4084.024110677083,46209000
2023-04-10,4084.024169921875,4105.922422843709,4051.1767905391257,4094.973296382792,37676400
2023-04-11,4105.92236328125,4116.871489583333,4073.0749843749995,4073.0749843749995,29357800
2023-04-12,4094.97314453125,4116.871396641043,4094.97314453125,4116.871396641043,46097000
2023-04-13,4105.92236328125,4138.7697421875,4094.9732369791664,4138.7697421875,39924200
2023-04-14,4116.87158203125,4160.668088223072,4105.9224554832945,4127.8207085792055,64999800
2023-04-17,4138.77001953125,4138.77001953125,4105.922638423859,4127.820892495452,28538400
2023-04-18,4149.71875,4193.515253957783,4116.871372031662,4138.769624010554,57641400
2023-04-26,4193.515625,4193.515625,4127.820863250653,4182.566498041776,93228000
2023-04-27,4160.66796875,4204.464473684211,4149.718842516448,4182.5662212171055,26137000
2023-04-28,4127.8203125,4193.5150654840845,4127.8203125,4193.5150654840845,46132800
2023-05-02,4182.56591796875,4182.56591796875,4127.820290770206,4138.769416209915,28908400
2023-05-03,4149.71875,4182.566127968337,4116.871372031662,4182.566127968337,30178200
2023-05-04,4073.074951171875,4127.820582236013,4062.1258249590473,4116.871456023186,44453400
2023-05-05,4051.177001953125,4084.024383050042,4007.380493823902,4073.0752560177366,54129200
2023-05-08,4007.38037109375,4073.0751312756147,4007.3803710937495,4062.126004578637,33599400
2023-05-09,3996.431396484375,4018.329650711687,3963.5840151434077,3996.431396484375,36728200
2023-05-10,4029.278564453125,4062.125944054645,4018.329437919285,4040.2276909869647,35383600
2023-05-11,4007.38037109375,4007.3803710937495,3963.58386430584,4007.3803710937495,38690600
2023-05-12,3941.685302734375,4007.380057779948,3930.736176893446,3996.430931939019,50498800
2023-05-15,3897.88916015625,3952.6347944281074,3875.990906447507,3941.685667573736,78164000
2023-05-16,3832.194091796875,3930.7362255859375,3810.29583984375,3919.787099609375,101617400
2023-05-17,3832.194091796875,3865.0414697265624,3788.397587890625,3821.2449658203127,101667400
2023-05-19,3865.041748046875,3897.8891283418907,3832.194367751859,3854.0926212818695,96444800
2023-05-22,3875.99072265625,3886.939848991437,3843.1433436506886,3865.041596321063,88480000
2023-05-23,3919.787353515625,3941.6856068872207,3865.041720086636,3865.041720086636,107289400
2023-05-24,3865.041748046875,3919.7873818719013,3854.0926212818695,3897.8891283418907,133024800
2023-05-25,3941.685302734375,3952.634428575304,3854.0922960069443,3865.041421847873,74127200
2023-05-26,3919.787353515625,3974.5329869446145,3919.7873535156255,3941.6856068872207,43538600
2023-05-29,3963.583740234375,3963.583740234375,3919.7872348174205,3941.6854875258978,27492000
2023-05-30,3952.634765625,3985.4821459487534,3930.736512075831,3952.634765625,41695200
2023-05-31,3963.583740234375,3996.4311192970904,3952.6346138801364,3985.4819929428522,278133800
2023-06-05,3941.685302734375,3996.430931939019,3941.685302734375,3963.583554416233,53155600
2023-06-06,4029.278564453125,4051.176817520805,3908.8381725808845,3941.6855521824045,82211400
2023-06-07,4007.38037109375,4051.1768778816595,3974.532991002817,4040.2277511846823,62411600
2023-06-08,4029.278564453125,4029.278564453125,3974.5329317839246,4007.3803113854447,34322400
2023-06-09,4040.2275390625,4040.2275390625,4007.3801606961383,4029.2784129403794,35863800
2023-06-12,4073.074951171875,4073.074951171875,4018.329320107737,4051.17669874622,34347200
2023-06-13,3996.431396484375,4073.075286279966,3985.482269370719,4073.075286279966,40190000
2023-06-14,3930.736328125,3985.4819594359333,3919.7872018628136,3985.4819594359333,91447800
2023-06-15,3985.48193359375,3985.4819335937505,3919.7871764466004,3930.736302637792,35271200
2023-06-16,3952.634765625,3974.533019174169,3919.7873853012466,3974.533019174169,53221000
2023-06-19,3963.583740234375,3963.583740234375,3919.7872348174205,3952.6346138801364,28209000
2023-06-20,3974.532958984375,3974.532958984375,3941.685579158058,3963.583832375603,27112200
2023-06-21,3985.48193359375,3985.4819335937505,3941.6854288289837,3974.532807402559,21594600
2023-06-22,3963.583740234375,4040.227624714045,3963.583740234375,3985.4819929428522,41779600
2023-06-23,3952.634765625,3985.4821459487534,3952.634765625,3974.533019174169,22346200
2023-06-26,3996.431396484375,3996.431396484375,3930.7366338024403,3952.634888029752,27723200
2023-06-27,4007.38037109375,4018.329497790727,3974.532991002817,3996.4312443967724,33973200
