,Price,Volume,Simple Moving Average,Exponential Moving Average,RSI,MACD,Bollinger Bands,Other,Average
BBRI,0.9851658390784066,0.00043476301280426764,0.0018610040209089671,0.009961949686894988,0.00016057039532159725,0.00048246588190110147,0.0001890526918648333,0.00174435523189772,0.12500000000000003
BBCA,0.4741251203893618,0.0011233950351060946,0.16749147668922126,0.2563324878499563,0.002127867155897,0.004119665866045119,0.09220677053697479,0.0024732164774376123,0.125
BMRI,0.9979634570310612,0.0002227522869405693,5.776508791569868e-05,0.00046516559917539525,0.00019985731945298347,0.00034904922384256036,2.5083403056216973e-05,0.0007168700485554546,0.125
BBTN,0.9136913304044036,0.002313287981031382,0.02490360020871288,0.03863087417072387,0.0005833166448732898,0.0018232467896935236,0.014691487152577603,0.0033628566479838168,0.125
BBNI,0.9924482793839579,0.0002897264922828884,0.0006138823373141054,0.0036177062366886687,0.00018766629528992718,0.00042920705116587083,0.0002761061943170708,0.0021374260089834815,0.12499999999999997
