Feature,Importance,Percentage,Cumulative_Percentage
Low,0.5723267285784059,57.2326728578406,57.2326728578406
High,0.32733001176390286,32.73300117639029,89.96567403423089
EMA_5,0.01703074907119328,1.703074907119328,91.66874894135022
EMA_20,0.014455045553460126,1.4455045553460126,93.11425349669624
Open,0.014034590062094844,1.4034590062094845,94.51771250290572
SMA_20,0.014009707933648913,1.4009707933648914,95.91868329627061
BB_Middle,0.007833843895775822,0.7833843895775822,96.70206768584819
EMA_10,0.00714507954607046,0.714507954607046,97.41657564045524
SMA_10,0.0063118753297670225,0.6311875329767023,98.04776317343193
BB_Lower,0.006023425410909095,0.6023425410909095,98.65010571452284
SMA_5,0.004582016945296944,0.45820169452969445,99.10830740905253
Daily_Return,0.003112093929139136,0.3112093929139136,99.41951680196644
Volume_MA,0.0019665583475017845,0.19665583475017845,99.61617263671661
MACD_Histogram,0.0008749104583219575,0.08749104583219576,99.70366368254881
BB_Upper,0.0008342178458926866,0.08342178458926866,99.78708546713807
MACD_Signal,0.0006005022632929045,0.06005022632929045,99.84713569346737
RSI,0.0005833166448732898,0.05833166448732898,99.90546735795469
MACD,0.0003478340680786616,0.034783406807866166,99.94025076476255
Volume,0.00034672963352959727,0.034672963352959725,99.97492372811551
HL_Range,0.00025076271884468074,0.025076271884468076,99.99999999999999
