Feature,Importance,Percentage,Cumulative_Percentage
High,0.1849855644305036,18.498556443050358,18.498556443050358
Low,0.1753821746504616,17.53821746504616,36.03677390809652
EMA_5,0.17152024612116826,17.152024612116826,53.188798520213346
Open,0.11375738130839658,11.375738130839657,64.564536651053
EMA_10,0.07825421827907703,7.825421827907703,72.38995847896071
SMA_5,0.06807033417802233,6.8070334178022325,79.19699189676294
SMA_10,0.05706093225325745,5.706093225325745,84.90308512208868
BB_Lower,0.04767358754794083,4.767358754794083,89.67044387688277
SMA_20,0.042360210257941476,4.236021025794147,93.90646490267692
BB_Upper,0.025301795552828018,2.530179555282802,96.43664445795972
BB_Middle,0.019231387436205952,1.9231387436205953,98.35978320158031
EMA_20,0.006558023449711045,0.6558023449711045,99.01558554655142
RSI,0.002127867155897,0.2127867155897,99.22837226214112
Daily_Return,0.0019190768697302366,0.19190768697302366,99.42027994911415
MACD,0.0017402677400543357,0.17402677400543357,99.59430672311959
MACD_Histogram,0.001519158016013374,0.1519158016013374,99.74622252472092
MACD_Signal,0.0008602401099774095,0.08602401099774096,99.83224653571867
Volume_MA,0.0006410188748256459,0.06410188748256458,99.89634842320123
HL_Range,0.0005541396077073756,0.055413960770737555,99.95176238397197
Volume,0.00048237616028044865,0.04823761602804486,100.00000000000001
