Bank,Ticker,Train_MAE,Train_RMSE,Train_R2,Train_MAPE,Train_Max_Error,Train_Mean_Error,Train_Std_Error,Test_MAE,Test_RMSE,Test_R2,Test_MAPE,Test_Max_Error,Test_Mean_Error,Test_Std_Error,R2_Gap,Target_Achieved
BCA,BBCA,0.0018161782310386534,0.002514508149299732,0.9998669617641331,0.4929067958448814,0.013627912561586353,-1.4251516384326516e-17,0.002514508149299732,0.02029005776226875,0.0276995877028636,0.9727804968146272,inf,0.10125245322945028,-0.008082237091111577,0.026494237156628846,0.02708646494950595,Yes
BRI,BBRI,0.004236572884680544,0.00673309721882039,0.998702436800714,inf,0.08448286221646466,-0.00013605305761774195,0.006731722493062213,0.009906980443053392,0.012893425701166902,0.9793738700349679,4.191483713576697,0.0362948477171397,0.00234252503439163,0.012678840750429817,0.019328566765746125,Yes
Mandiri,BMRI,0.005426110026812475,0.007693227271949039,0.9990802256210869,inf,0.03431906941735241,2.968650659427455e-17,0.007693227271949039,0.01855899671855822,0.02358953114194397,0.953283640658204,6.262504729297492,0.07000545685363962,-0.003245822951398329,0.023365158096296294,0.04579658496288286,Yes
BNI,BBNI,0.004730847244729745,0.006711216536744983,0.999110025551219,1.250602339663072,0.03853300121346204,-9.49393246262632e-05,0.0067105449799341075,0.013970188062836406,0.021034521936531846,0.9631758107749564,inf,0.10371803937620741,0.0017467948690218123,0.020961865870766337,0.035934214776262574,Yes
BTN,BBTN,0.003668598690654084,0.00544760112340442,0.998530645678182,0.7573737943179932,0.029676223522758005,8.176020946161605e-05,0.005446987540638026,0.022058653074397885,0.03160240900449818,0.9772670349606474,inf,0.10557844579329188,0.0006477035588309135,0.03159577084021634,0.021263610717534576,Yes
